"","Dessert","Main_Ingredients","Dessert_URL_Searched"
"1","Angel food cake","Sugar, Flour, Egg white, Cream of tartar","https://en.wikipedia.org/wiki/Angel_food_cake"
"2","Apple crisp","Apple, Butter, Sugar, Flour, Cinnamon, Oat, Brown sugar, Ginger, Nutmeg","https://en.wikipedia.org/wiki/Apple_crisp"
"3","Apple dumpling","","https://en.wikipedia.org/wiki/Apple_dumpling"
"4","Banana split","Vanilla, Chocolate, Strawberry, Ice cream, Banana","https://en.wikipedia.org/wiki/Banana_split"
"5","Bananas Foster","Banana, Vanilla, Ice cream, Butter, Brown sugar, Cinnamon, Rum, Liqueur","https://en.wikipedia.org/wiki/Bananas_Foster"
"6","Banana pudding","Banana, Vanilla Wafers, Ladyfinger (cookie), Custard, Vanilla","https://en.wikipedia.org/wiki/Banana_pudding"
"7","Black and white cookie","",""
"8","Blackout cake","",""
"9","Blondie (confection)","Flour, Sugar, Butter, Egg as food, Baking powder, Vanilla","https://en.wikipedia.org/wiki/Blondie_(confection)"
"10","Bomb pop","",""
"11","Boston cream doughnut","Icing (food), Custard","https://en.wikipedia.org/wiki/Boston_cream_doughnut"
"12","Boston cream pie","Sponge cake, Custard","https://en.wikipedia.org/wiki/Boston_cream_pie"
"13","Butter mochi","Coconut milk, Milk, Sugar, Butter, Eggs, Mochiko","https://en.wikipedia.org/wiki/Butter_mochi"
"14","Candy","Sugar, Honey","https://en.wikipedia.org/wiki/Candy"
"15","Caramel","Sugar","https://en.wikipedia.org/wiki/Caramel"
"16","Cake","",""
"17","Cheesecake","Cream cheese, Sugar, Graham cracker crust, Pastry, Sponge cake","https://en.wikipedia.org/wiki/Cheesecake"
"18","Chocolate brownie","Flour, Butter, Egg (food), Chocolate, Cocoa powder, Sugar","https://en.wikipedia.org/wiki/Chocolate_brownie"
"19","Chocolate chip cookie","Flour, Sugar, Brown sugar, Butter, Margarine, Chocolate chip, Egg (food), Vanilla, Baking soda, Salt","https://en.wikipedia.org/wiki/Chocolate_chip_cookie"
"20","Chocolate pudding","",""
"21","Chocolate-covered bacon","Pork belly, Chocolate","https://en.wikipedia.org/wiki/Chocolate-covered_bacon"
"22","Chocolate-covered fruit","",""
"23","Chocolate-covered potato chips","Potato chip, Chocolate, Cocoa solids","https://en.wikipedia.org/wiki/Chocolate-covered_potato_chips"
"24","Cinnamon rolls","Flour, Cinnamon, Sugar, Butter","https://en.wikipedia.org/wiki/Cinnamon_rolls"
