"","State","Name","Saffir_Simpson_Category","Date_Closest","Year_Closest","Date_Formed","Date_Extratropical","Date_Dissipated","Fatalities","Damage","URL_Searched","Damage_Estimate","Fatalities_Estimate","Detail_QA"
"1","Alabama","Unnamed","3",1852-08-26,"1852",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"2","Alabama","Unnamed","1",1856-08-31,"1856",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"3","Alabama","Unnamed","1",1859-09-16,"1859",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"4","Alabama","Unnamed","2",1860-08-12,"1860",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"5","Alabama","Unnamed","1",1860-09-16,"1860",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"6","Alabama","Unnamed","1",1870-07-30,"1870",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"7","Alabama","Unnamed","1",1882-09-10,"1882",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"8","Alabama","Unnamed","2",1893-10-03,"1893",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"9","Alabama","Unnamed","1",1901-08-15,"1901",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"10","Alabama","Unnamed","2",1906-09-27,"1906",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"11","Alabama","Unnamed","1",1912-09-14,"1912",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"12","Alabama","Unnamed","2",1916-07-05,"1916",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"13","Alabama","Unnamed","2",1916-10-18,"1916",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"14","Alabama","Unnamed","1",1917-09-29,"1917",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"15","Alabama","Unnamed","3",1926-08-21,"1926",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"16","Alabama","Unnamed","1",1932-09-01,"1932",NA,NA,NA,NA,NA,NA,NA,NA,"No"
"17","Alabama","Baker","1",1950-08-31,"1950",1950-08-18,NA,1950-09-01,"38 direct","$2.55 million ","https://en.wikipedia.org/wiki/Hurricane_Baker_(1950)",2550000,38,"Yes"
"18","Alabama","Camille","1",1969-08-18,"1969",1969-08-14,NA,1969-08-22,"259 total","$1.42 billion ","https://en.wikipedia.org/wiki/Hurricane_Camille_(1969)",1420000000,259,"Yes"
"19","Alabama","Eloise","1",1975-09-23,"1975",1975-09-13,NA,1975-09-24,"80 direct","$560 million ","https://en.wikipedia.org/wiki/Hurricane_Eloise_(1975)",560000000,80,"Yes"
"20","Alabama","Frederic","4",1979-09-13,"1979",1979-08-29,NA,1979-09-15,"12","$1.77 billion ","https://en.wikipedia.org/wiki/Hurricane_Frederic",1770000000,12,"Yes"
"21","Alabama","Elena","3",1985-09-02,"1985",1985-08-28,NA,1985-09-04,"9","$1.3 billion ","https://en.wikipedia.org/wiki/Hurricane_Elena",1300000000,9,"Yes"
"22","Alabama","Opal","1",1995-10-04,"1995",1995-09-27,NA,1995-10-06,"63 total","$4.7 billion ","https://en.wikipedia.org/wiki/Hurricane_Opal_(1995)",4700000000,63,"Yes"
"23","Alabama","Danny","1",1997-07-19,"1997",1997-07-16,1997-07-26,1997-07-27,"9","$100 million ","https://en.wikipedia.org/wiki/Hurricane_Danny_(1997)",100000000,9,"Yes"
